,역명,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분
0,가락시장역,15.55,14.02,16.52,18.6,26.22,29.5,33.85,37.9,38.35,40.25,38.97,43.05,42.4,51.3,49.47,48.05,44.72,49.0,51.2,51.88,56.55,56.4,56.82,52.32,48.28,43.55,39.85,33.52,32.83,35.5,39.35,33.75,34.72,29.42,23.1,16.52
1,가산디지털단지역,17.05,15.88,13.72,16.42,23.1,25.48,29.28,31.42,30.35,29.7,32.78,32.1,30.22,35.1,34.28,32.4,32.65,34.8,33.78,37.98,39.9,42.78,43.0,39.8,38.55,32.1,29.75,27.8,25.4,25.0,25.08,27.42,23.5,22.8,22.4,12.2
2,강남구청역,21.22,16.65,17.77,21.1,24.92,27.92,33.35,33.6,31.12,33.47,35.85,38.88,39.83,41.02,40.33,41.02,39.15,42.0,41.62,45.42,49.02,56.55,50.2,49.78,44.62,40.25,37.6,32.2,31.75,34.75,32.45,30.55,30.72,27.4,24.15,16.55
3,강남역,14.48,13.1,13.38,15.52,20.95,26.65,31.9,31.15,35.95,34.28,36.8,43.45,42.92,43.28,44.97,48.72,44.25,45.25,49.4,47.35,56.82,55.6,53.22,47.55,45.3,45.58,39.6,32.5,35.85,41.15,41.38,41.15,41.8,34.85,31.58,21.18
4,강동구청역,13.55,12.1,14.63,14.63,22.22,23.2,30.9,31.85,28.95,28.75,28.05,31.68,30.12,36.35,33.9,35.15,33.4,35.42,34.62,36.75,38.4,41.05,39.92,37.78,39.28,30.4,28.17,25.08,23.2,24.48,25.67,25.25,26.02,18.3,14.55,11.7
5,강동역,12.22,11.18,15.48,17.77,25.15,25.05,35.15,28.38,32.1,37.25,34.67,33.62,37.92,43.7,37.83,39.55,40.65,37.25,39.2,46.3,46.68,45.0,49.1,40.45,36.83,35.3,32.22,22.5,26.45,33.62,25.72,28.88,26.3,23.22,14.82,13.52
6,강변역,9.5,6.9,8.05,11.05,16.77,17.5,20.4,22.8,24.48,23.72,29.1,32.22,30.55,35.83,33.6,33.42,32.83,32.2,36.22,39.38,37.9,40.8,41.05,35.38,33.92,35.22,32.48,28.05,22.78,30.08,28.52,27.75,26.98,19.55,20.1,16.3
7,강일역,9.72,9.05,8.85,12.1,16.58,19.45,22.45,21.62,25.68,23.7,22.02,23.0,24.05,24.95,25.33,23.85,23.58,24.02,24.83,25.78,27.1,27.52,27.28,27.42,24.88,29.75,20.45,17.82,16.82,15.95,17.65,15.52,17.05,15.85,11.68,15.1
8,개롱역,7.6,7.0,8.52,10.98,15.92,15.68,19.3,18.68,19.38,18.95,17.8,18.95,20.62,19.82,22.62,19.48,18.68,18.62,19.42,21.67,21.2,20.55,21.95,17.58,18.82,16.88,13.6,12.08,10.1,11.65,11.68,10.35,10.73,8.78,8.48,5.7
9,개화산역,1.75,1.52,1.5,2.05,2.52,3.08,3.35,3.47,3.35,3.25,3.7,3.48,3.82,3.5,3.78,3.65,3.35,3.38,3.42,3.4,3.78,3.55,3.82,3.12,3.18,2.82,2.55,1.9,1.92,1.75,1.9,1.68,2.02,1.48,1.12,1.02
10,거여역,5.07,4.6,6.1,7.45,10.48,11.2,13.68,13.15,13.55,13.1,12.08,12.7,13.05,12.75,13.65,12.18,11.98,11.7,11.72,13.1,12.35,11.72,11.68,10.48,9.72,8.75,8.18,6.3,5.68,5.9,5.85,5.18,6.32,4.62,4.25,2.55
11,건대입구역,25.4,19.62,20.55,27.18,30.52,33.78,40.95,38.72,35.85,34.15,39.78,39.1,38.45,42.38,40.75,40.25,37.58,41.98,42.25,46.68,52.65,54.38,52.05,53.42,46.38,45.15,42.7,35.78,36.95,39.1,39.5,39.33,38.6,32.22,32.2,24.02
12,경복궁역,12.18,10.95,11.8,16.15,22.28,25.85,30.02,33.95,31.58,32.35,34.8,34.52,34.08,37.0,33.57,37.38,36.95,40.12,37.62,43.18,42.78,47.58,46.0,45.28,40.7,39.17,32.15,27.42,26.25,30.12,29.7,27.0,27.95,21.32,19.55,12.08
13,경찰병원역,3.1,1.5,1.8,1.6,2.2,3.0,3.25,3.25,3.4,4.0,2.9,3.7,4.85,4.0,4.9,4.75,3.95,4.05,5.5,6.0,5.7,6.55,7.95,7.8,5.5,6.45,4.65,5.1,4.9,5.25,5.0,5.15,5.55,7.2,5.25,3.65
14,고덕역,8.43,14.23,13.9,16.52,22.75,28.22,31.68,27.33,34.35,33.35,32.72,33.12,35.33,36.22,36.33,34.72,34.15,35.17,36.28,37.28,39.2,42.65,39.6,40.03,35.3,31.83,29.83,22.4,24.55,23.12,25.75,21.98,26.15,21.68,17.75,13.75
15,고려대역,9.0,8.73,9.8,12.58,18.32,20.83,22.58,22.05,22.92,22.65,21.95,24.45,25.05,26.6,28.55,28.65,27.1,26.08,25.9,26.28,28.45,27.85,29.45,27.82,25.78,25.0,19.05,17.75,16.25,16.95,18.67,19.7,16.27,15.0,15.73,12.72
16,고속터미널역,21.35,13.92,16.08,18.27,23.1,26.17,30.52,31.1,29.85,31.48,33.78,38.72,36.15,38.9,39.9,38.02,37.07,41.2,40.53,44.92,44.08,59.2,48.0,50.55,43.35,40.98,37.15,33.1,34.22,37.6,36.15,33.3,31.68,29.72,23.02,15.3
17,공덕역,9.45,8.85,10.98,12.02,16.05,18.6,23.65,24.72,25.68,28.35,30.17,31.75,33.45,37.8,36.65,37.45,37.12,39.02,38.38,39.03,41.82,43.08,42.4,38.12,35.67,29.62,24.95,22.78,21.05,22.85,23.38,22.92,23.75,21.58,18.75,11.1
18,공릉역,15.72,13.88,16.1,19.85,25.05,28.02,32.52,33.15,31.6,29.78,28.67,32.17,29.75,31.4,31.28,31.0,31.25,29.82,33.35,33.2,35.45,36.83,38.55,34.1,31.38,26.75,25.3,22.95,19.88,22.28,24.0,20.32,21.48,17.38,16.38,15.3
19,광나루역,19.15,14.08,15.6,19.62,26.35,29.3,34.05,35.47,37.22,36.95,37.0,41.08,40.05,43.95,44.97,40.92,42.6,44.08,44.68,47.28,51.45,52.98,52.97,48.75,45.95,35.95,33.1,30.22,29.88,35.58,32.05,36.22,28.08,26.58,20.1,18.62
20,광명사거리역,14.15,15.22,13.9,16.7,19.6,24.9,27.83,26.52,27.7,29.18,28.0,27.38,29.85,29.45,27.85,29.33,30.65,26.3,30.65,33.08,32.83,33.75,37.28,31.05,30.08,26.15,25.2,21.78,19.25,20.65,19.92,20.65,18.77,18.67,15.92,8.68
21,광화문역,8.57,7.38,9.73,10.12,13.55,15.25,19.05,20.4,20.9,24.02,25.4,26.65,28.95,32.25,32.75,32.83,33.12,36.28,37.1,38.78,41.58,45.38,43.0,38.7,36.4,30.08,25.92,24.7,23.3,28.58,26.2,21.9,21.17,17.6,15.22,7.78
22,광흥창역,7.8,5.48,7.55,8.28,11.22,13.52,16.02,17.48,18.1,19.15,19.27,21.42,22.58,27.48,25.12,25.52,24.68,25.18,25.45,27.65,28.62,30.83,30.35,30.93,26.58,24.22,21.5,18.17,17.9,17.23,19.3,18.7,21.38,19.65,15.98,10.62
23,교대역,16.9,14.85,14.4,17.82,23.65,31.4,38.7,36.58,38.58,39.68,37.45,48.0,44.38,44.9,50.75,51.02,46.0,49.2,48.52,48.12,59.38,58.88,54.15,50.22,48.55,49.6,42.72,36.88,38.55,41.82,45.28,43.12,42.85,37.68,30.82,22.65
24,구로디지털단지역,19.2,14.73,14.55,16.27,25.95,26.28,32.8,34.25,32.28,35.58,33.3,37.78,36.08,39.98,43.8,41.78,37.1,41.7,37.58,38.2,49.72,50.22,43.08,41.6,40.65,40.55,31.25,32.7,31.72,27.3,36.33,31.13,35.55,36.95,28.88,28.52
25,구산역,6.6,6.35,8.3,10.15,13.35,14.8,17.75,18.65,20.6,19.2,18.95,19.55,21.25,22.2,22.85,21.3,22.9,21.55,22.2,22.3,22.3,25.3,23.95,21.25,19.45,17.15,12.95,12.45,11.55,10.6,10.8,9.4,10.6,10.25,5.35,3.15
26,구의역,10.65,8.02,9.02,12.12,17.8,18.48,21.1,22.75,25.25,24.58,29.22,32.62,31.7,36.2,35.42,34.5,33.85,32.12,38.9,40.03,38.88,42.3,41.45,37.55,32.9,36.35,32.85,28.3,23.05,29.85,28.15,27.5,26.52,20.1,21.05,17.95
27,구파발역,11.05,6.15,7.58,9.57,14.95,15.32,20.45,17.2,20.6,21.5,22.95,16.18,23.65,16.83,22.75,17.17,25.65,17.65,23.82,18.83,28.28,20.82,28.3,19.52,21.3,22.67,13.25,18.12,11.62,16.48,16.98,13.72,14.3,14.1,10.45,1.78
28,군자역,26.63,21.25,23.8,29.2,36.0,40.52,48.82,45.1,41.1,41.75,42.98,43.82,42.9,47.38,46.5,45.8,43.55,47.42,45.1,48.85,49.42,60.28,54.8,53.97,48.38,46.27,38.88,34.25,34.6,36.58,37.62,36.88,34.67,28.18,27.92,19.62
29,굽은다리역,12.2,15.0,17.62,21.15,31.82,32.6,38.85,36.65,41.22,41.8,42.1,41.9,42.72,47.28,44.48,45.02,43.08,43.47,45.55,46.15,50.35,52.42,47.92,48.08,42.62,41.7,35.0,28.98,30.17,28.12,29.15,28.38,31.28,27.28,16.12,23.6
30,금호역,11.62,9.72,10.02,12.5,19.55,24.55,29.55,29.55,30.88,33.2,36.58,37.62,36.15,41.02,36.3,42.6,42.32,39.1,41.38,44.52,44.82,48.8,47.92,45.32,45.55,37.0,29.05,28.62,27.28,31.25,27.1,24.65,27.08,20.1,16.33,12.82
31,길동역,13.27,16.5,20.08,21.58,34.02,33.4,42.22,37.0,44.2,44.85,45.92,45.6,45.98,51.0,48.65,49.02,47.45,46.9,49.5,51.62,55.32,57.55,52.42,52.98,46.95,46.58,38.45,32.25,33.35,31.22,32.22,31.95,31.85,30.5,18.28,26.45
32,길음역,17.32,16.62,15.82,19.38,28.12,33.17,38.6,36.72,36.85,37.58,37.22,35.2,30.75,35.7,32.22,34.22,30.58,33.4,32.6,35.67,34.97,38.55,39.7,39.67,35.0,37.62,33.6,32.12,27.2,30.9,30.25,31.38,28.48,26.0,25.8,19.8
33,김포공항역,2.78,2.25,2.33,3.02,4.55,5.3,5.93,6.3,5.9,5.95,6.4,6.12,7.15,7.15,7.22,7.68,7.2,7.15,7.5,7.4,7.92,8.57,8.7,8.12,7.7,7.48,6.92,5.15,5.68,5.03,5.38,5.1,6.05,4.52,4.15,2.58
34,까치산역,11.2,10.3,10.62,13.75,18.9,21.15,24.8,24.8,24.15,25.08,25.4,26.72,28.18,29.38,28.85,27.92,27.88,26.83,26.78,27.72,28.08,31.45,28.95,27.33,25.7,23.15,20.85,17.4,16.98,16.17,17.5,15.52,16.35,13.8,12.95,11.08
35,낙성대역,19.8,18.62,19.23,19.52,28.15,35.58,40.38,42.78,42.1,37.52,37.6,47.2,41.45,43.38,53.1,47.92,42.02,48.7,43.48,44.8,58.15,58.42,47.58,49.28,49.47,45.4,40.88,35.58,36.35,36.6,42.9,39.7,43.22,38.72,34.15,26.1
36,남구로역,19.25,15.85,14.37,17.2,23.58,26.35,29.88,31.02,30.32,29.0,31.75,32.7,30.58,35.55,34.22,33.17,31.75,33.83,32.88,36.25,36.47,41.05,39.42,36.88,34.75,29.7,25.9,24.85,23.7,22.15,24.08,23.85,21.35,20.95,19.47,10.88
37,남부터미널역,10.15,9.32,8.4,9.43,14.82,18.33,20.12,20.95,21.45,22.82,24.42,26.85,25.12,27.3,28.48,26.52,27.65,25.32,27.85,28.12,31.2,33.9,33.83,31.82,31.25,23.38,21.15,18.35,21.18,19.2,20.18,16.68,19.4,14.62,11.08,7.0
38,남성역,21.0,17.0,16.85,18.45,26.88,30.8,34.45,33.3,32.2,31.58,32.22,35.28,36.62,40.12,37.58,34.83,34.52,34.33,36.67,38.62,38.45,47.45,42.0,38.33,33.85,33.85,26.28,25.4,24.08,26.58,28.58,24.88,23.25,23.15,18.98,12.65
39,남위례역,4.4,5.15,5.55,7.25,9.75,11.35,14.7,15.75,16.05,13.15,14.05,15.3,16.6,16.95,16.5,17.25,16.05,16.25,17.25,17.35,17.6,17.4,18.05,16.7,16.35,16.2,13.85,12.6,12.2,11.35,15.15,12.75,11.9,9.5,9.6,6.0
40,남태령역,19.85,17.48,20.15,20.95,25.78,42.92,51.1,73.15,61.37,71.45,58.6,60.28,56.05,49.62,50.3,50.02,51.7,43.92,53.0,56.78,55.35,55.62,66.0,55.1,70.03,72.7,46.68,40.25,39.52,35.3,37.15,44.1,36.4,31.95,30.02,26.08
41,남한산성입구역,6.85,6.28,7.02,9.15,12.18,13.22,14.62,14.8,13.75,14.48,13.48,13.73,14.62,15.3,16.85,15.1,14.42,14.4,14.7,15.3,16.15,16.35,14.88,14.3,13.12,11.12,10.45,8.8,8.0,8.15,9.8,8.82,8.48,7.68,6.65,5.2
42,내방역,27.02,17.15,18.82,20.8,27.0,30.7,37.85,36.98,35.3,36.33,36.72,41.82,41.08,44.88,44.1,41.68,40.52,43.38,42.6,47.05,45.0,59.02,47.62,49.18,40.93,39.1,34.38,30.65,30.2,33.3,33.42,30.35,28.08,27.9,20.95,13.25
43,노원역,10.73,9.58,10.92,14.25,16.52,19.68,21.92,23.85,20.7,22.1,19.23,20.0,20.25,20.25,20.65,21.2,21.22,20.62,23.92,22.22,25.42,26.1,25.38,22.45,21.92,18.22,16.25,15.5,14.12,15.35,16.02,13.3,14.35,11.4,12.2,10.85
44,녹번역,13.28,9.32,11.38,14.45,20.7,24.88,26.58,28.78,28.3,28.32,33.58,27.62,27.72,29.18,28.8,29.1,29.68,29.98,27.1,31.22,32.88,35.62,32.83,31.7,29.08,28.58,23.55,20.62,20.03,20.85,23.62,21.42,19.38,17.15,15.58,10.1
45,녹사평역,8.7,6.78,8.6,9.35,12.85,14.75,16.88,18.95,20.1,21.85,22.4,24.15,24.95,28.85,28.42,29.12,27.3,27.65,28.58,31.6,33.67,35.3,34.33,33.58,30.48,27.95,22.85,21.18,21.75,19.4,24.6,21.98,23.22,19.98,19.68,10.3
46,논현역,24.35,17.02,16.98,19.73,23.38,26.05,31.6,33.15,31.95,33.02,34.58,40.42,38.38,40.98,41.45,41.05,38.2,42.2,41.15,44.88,46.62,54.48,46.15,48.9,41.4,38.53,34.22,29.98,31.05,32.48,30.6,29.92,28.75,26.92,23.52,15.9
47,단대오거리역,5.15,5.0,4.88,6.8,8.48,9.52,10.72,11.15,10.72,10.82,10.52,10.48,11.4,12.0,13.12,12.25,11.9,11.12,10.9,11.9,12.02,12.52,11.18,11.12,10.2,8.52,7.9,6.05,5.92,5.98,7.2,5.88,5.68,5.55,4.22,3.58
48,답십리역,14.92,11.88,14.48,18.05,21.82,24.33,30.12,31.7,31.82,34.9,35.3,35.83,38.4,42.3,40.7,40.05,39.5,41.0,41.18,44.62,46.28,47.92,47.9,43.15,38.83,34.72,29.05,25.12,24.95,30.05,29.1,28.05,26.78,23.42,20.58,15.8
49,당고개역,2.35,1.82,2.0,3.35,3.62,4.78,4.4,4.72,5.9,5.12,5.62,4.78,4.22,4.95,4.72,4.22,5.62,4.25,5.18,4.62,4.72,4.3,4.82,7.3,3.98,4.5,3.85,2.55,3.22,5.15,1.75,3.82,2.62,2.4,3.8,1.58
50,당산역,16.35,10.65,12.58,15.85,22.3,25.75,29.02,29.9,33.8,33.55,36.4,41.35,40.62,53.65,46.98,47.62,49.42,45.9,46.4,49.42,54.28,57.75,53.78,56.65,46.3,47.98,39.12,39.7,38.0,37.53,44.42,40.22,44.58,36.72,40.05,23.35
51,대림역,19.92,14.72,15.02,16.77,26.28,27.02,33.28,35.92,33.05,36.55,34.4,38.12,37.47,43.28,44.5,44.32,39.65,45.02,38.92,42.48,47.1,56.6,44.6,44.0,43.62,42.68,33.0,34.92,32.4,29.15,37.03,33.28,34.72,39.1,30.65,32.78
52,대청역,6.75,4.62,5.05,5.35,7.82,9.48,10.38,11.95,11.32,11.32,11.38,12.25,12.2,12.77,13.65,12.18,10.88,11.52,12.38,13.85,14.62,12.18,15.85,14.08,12.75,10.68,8.3,7.52,8.57,7.4,8.07,7.15,6.55,8.82,4.92,4.85
53,대치역,5.98,5.6,5.15,5.92,8.5,9.95,11.3,11.95,12.08,12.52,12.4,13.75,12.9,14.28,15.27,13.88,12.82,13.0,13.8,15.6,16.08,14.78,17.95,16.4,15.3,12.58,10.07,8.82,10.1,8.68,9.5,8.65,8.5,10.2,5.55,4.85
54,대흥역,7.82,5.52,7.78,8.45,11.5,13.7,16.17,17.48,17.25,19.62,19.35,22.05,22.78,27.75,26.12,25.38,24.25,26.32,25.83,27.62,29.72,31.12,31.4,31.48,27.28,25.02,21.52,18.1,18.65,17.75,20.18,19.47,21.95,19.62,16.52,9.57
55,도곡역,6.95,6.2,5.72,6.42,9.82,12.12,13.25,14.3,13.9,14.22,14.12,16.1,14.23,17.42,18.8,15.62,15.48,15.08,16.5,17.92,18.3,18.33,18.02,20.23,17.75,14.15,11.3,9.95,11.32,10.3,10.28,10.3,9.6,11.22,6.28,5.45
56,도림천역,10.27,9.57,7.8,9.78,14.12,16.6,16.48,19.0,19.27,18.35,18.2,21.12,21.28,21.67,20.72,22.02,21.5,20.1,20.65,21.62,23.95,24.72,23.7,26.22,24.45,20.72,17.62,16.55,15.85,14.8,15.1,16.55,14.4,17.02,14.8,7.52
57,도봉산역,2.8,2.62,3.62,4.42,5.72,6.95,6.88,7.38,5.72,6.12,6.15,5.92,5.32,6.25,5.72,6.85,6.1,6.92,7.7,7.0,8.17,8.0,6.78,5.8,6.02,4.1,3.28,2.9,2.45,2.08,2.45,1.85,1.52,1.52,1.68,1.62
58,독립문역,13.52,10.58,12.22,16.1,22.58,25.55,29.48,33.15,31.17,31.3,35.2,31.3,32.95,32.62,31.48,33.45,34.92,33.48,33.12,35.75,39.78,39.42,38.72,37.62,35.35,34.5,27.22,24.65,22.78,27.22,26.42,24.78,25.3,19.48,17.97,11.08
59,독바위역,2.75,3.4,3.35,4.5,6.4,6.35,8.5,9.25,9.9,8.55,9.35,9.2,10.2,11.15,10.85,10.85,11.4,11.35,11.55,12.3,13.05,13.8,14.55,13.7,12.85,11.4,10.1,8.45,7.5,7.5,8.15,7.4,10.0,9.45,6.5,4.7
60,돌곶이역,6.7,7.4,8.07,10.58,13.92,16.32,17.75,17.73,17.82,17.45,17.67,18.58,20.7,20.72,23.12,21.85,21.15,20.67,19.52,20.27,21.62,20.98,22.05,20.2,20.7,19.83,14.9,13.12,12.18,12.82,13.6,13.75,12.2,10.68,11.15,8.38
61,동대문역,20.65,17.77,17.73,21.8,34.05,36.58,45.32,43.32,44.38,43.75,47.38,45.92,41.32,50.35,47.22,51.72,41.08,51.47,43.55,54.2,48.78,62.8,61.22,57.98,59.53,49.92,45.32,43.88,45.25,46.97,45.65,43.08,40.95,38.9,41.08,26.12
62,동대문역사문화공원역,17.05,14.65,14.7,17.73,28.52,31.65,38.92,38.45,39.78,39.58,43.85,43.52,42.4,47.6,43.58,47.7,44.75,47.3,46.92,56.65,46.78,56.15,55.85,52.82,55.92,48.08,45.4,41.78,42.92,45.08,43.2,39.98,38.38,36.02,35.28,26.75
63,동대입구역,9.9,7.9,9.4,11.15,15.68,21.72,26.0,25.05,26.92,28.38,32.47,31.82,32.8,35.65,32.58,37.2,39.48,35.3,37.3,38.9,39.17,47.98,44.05,42.2,44.2,35.28,28.28,25.68,24.75,28.4,24.55,23.32,25.8,18.7,15.3,10.52
64,동묘앞역,11.35,10.48,12.42,14.45,20.8,23.4,25.78,26.25,27.82,25.25,28.02,30.22,34.72,36.38,35.08,36.7,38.12,35.7,36.43,36.6,39.42,40.95,41.8,41.68,36.92,33.58,27.92,24.25,24.2,23.38,25.85,25.45,25.83,23.02,23.8,13.62
65,동작역,12.8,8.45,9.05,12.32,17.3,19.58,25.05,30.7,29.33,31.8,33.03,32.4,30.72,30.02,31.62,27.22,29.68,28.58,32.95,30.8,33.67,35.85,36.18,35.2,37.45,38.08,29.28,25.67,24.4,23.98,26.4,25.38,21.28,22.28,21.88,19.05
66,둔촌동역,13.3,10.45,14.95,18.0,23.55,25.55,30.98,26.8,33.2,31.52,28.83,33.55,34.15,39.1,41.38,37.88,35.08,36.92,40.12,43.95,47.12,48.08,49.68,38.0,39.4,28.92,27.05,22.32,24.78,47.08,29.2,36.67,24.08,18.3,16.92,9.88
67,디지털미디어시티역,8.8,8.25,10.65,13.02,17.92,20.2,25.1,26.82,25.8,25.02,23.42,24.98,27.58,28.75,28.1,27.78,28.0,27.83,28.42,29.37,31.02,35.75,33.15,34.05,28.28,26.75,24.22,21.62,19.2,19.58,18.83,21.28,25.5,24.17,16.8,12.22
68,뚝섬역,8.05,7.35,7.88,10.4,15.5,16.98,19.45,21.0,18.2,21.95,28.6,28.48,30.5,33.98,33.08,33.15,32.6,36.2,39.17,43.08,37.88,41.7,42.85,36.9,39.72,34.95,31.6,30.18,27.1,26.95,31.52,28.0,28.68,25.15,25.25,14.85
69,뚝섬유원지역,24.75,18.7,19.55,25.15,29.48,33.0,40.48,39.75,35.5,34.92,38.42,41.58,40.55,41.15,41.38,40.58,38.38,40.5,42.18,44.18,47.0,53.18,49.0,48.6,41.58,39.33,36.83,30.58,29.92,31.7,31.98,30.35,29.68,24.8,23.95,14.58
70,마곡역,6.43,4.82,4.97,5.82,8.2,9.12,10.45,11.25,10.65,11.3,11.52,12.25,12.7,13.05,13.5,13.08,12.98,13.22,13.65,13.95,14.42,15.4,14.95,13.42,12.92,11.2,11.23,8.48,8.33,8.0,7.63,7.4,8.0,6.5,5.78,3.12
71,마들역,8.48,7.9,8.52,12.1,13.35,17.15,18.58,20.8,18.32,18.23,16.8,16.58,16.52,16.85,16.15,16.85,17.1,16.23,17.9,17.12,20.25,19.48,19.17,16.23,16.52,13.05,11.6,10.6,9.48,9.95,10.92,9.32,8.6,7.45,7.28,6.15
72,마장역,14.62,11.08,14.63,17.92,21.55,24.52,28.98,32.22,32.17,34.58,36.0,37.2,38.08,42.5,41.62,40.9,39.88,41.65,43.18,44.7,46.65,49.48,48.92,44.05,40.47,35.95,30.62,26.95,27.35,30.02,30.15,29.72,27.75,24.88,21.35,14.2
73,마천역,2.03,1.92,2.52,3.12,4.25,3.9,4.92,4.45,4.53,3.92,4.25,4.43,4.38,4.05,4.32,3.3,3.7,3.48,3.5,3.88,3.88,3.38,3.3,2.85,2.82,1.6,1.35,1.12,1.45,1.15,0.88,0.52,0.9,0.48,0.65,0.15
74,마포구청역,9.93,8.88,11.62,13.32,19.17,21.02,25.42,27.88,27.32,27.72,25.48,27.92,28.55,31.7,30.5,30.33,30.3,29.38,30.75,32.2,33.5,36.6,35.58,35.25,29.42,28.17,24.02,22.1,20.7,19.27,20.55,21.28,25.88,22.15,15.52,11.92
75,마포역,10.1,8.88,10.9,12.42,16.77,18.45,23.42,25.17,24.62,27.9,29.2,30.92,33.17,36.45,36.82,37.88,37.02,39.83,38.28,40.08,42.47,44.62,43.8,39.18,37.75,32.75,26.38,24.3,23.48,25.02,24.62,20.62,19.55,17.18,15.58,9.12
76,망원역,10.62,9.22,12.0,14.15,19.02,22.15,27.4,28.98,28.8,28.8,26.4,29.35,29.17,35.25,33.7,32.67,33.52,32.7,34.25,36.67,37.58,41.58,40.7,39.22,33.42,31.92,27.92,26.22,24.92,23.38,25.28,25.72,32.38,26.65,18.4,14.6
77,매봉역,7.95,6.78,6.35,6.92,10.98,13.15,14.35,15.48,15.62,15.82,16.23,18.05,16.02,19.62,20.78,18.2,16.92,17.15,18.4,20.25,20.52,21.05,20.45,22.1,19.45,15.45,12.73,11.52,12.32,11.97,11.98,11.15,13.3,10.45,6.92,5.65
78,먹골역,17.45,15.3,17.8,21.5,27.3,29.7,34.95,33.72,32.43,30.52,30.22,32.45,31.32,32.82,33.75,31.67,32.3,31.38,33.57,34.38,36.5,39.5,41.1,35.92,34.28,29.48,26.88,24.65,22.18,24.0,25.9,23.08,22.95,19.27,18.4,16.85
79,면목역,24.2,19.55,22.7,26.88,33.12,37.2,43.1,39.35,39.85,36.3,37.8,39.3,37.83,40.38,41.32,39.25,39.42,37.78,38.72,42.05,44.72,48.22,49.9,45.18,41.2,37.78,33.3,29.08,28.55,30.17,31.45,27.88,28.4,23.12,23.12,20.4
