,역명,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분
161,양재역,8.5,7.15,6.78,7.45,12.0,14.7,15.45,17.27,16.58,17.9,18.17,20.65,18.7,22.65,23.58,21.4,20.35,20.33,21.92,23.52,25.15,24.75,24.67,25.45,24.5,18.98,15.73,14.42,15.92,15.42,15.27,13.32,15.55,11.18,8.65,6.05
162,양천구청역,9.93,9.18,7.38,9.65,13.68,14.92,15.65,18.2,18.6,17.5,16.95,20.05,20.3,20.18,19.3,20.1,19.88,18.12,18.73,19.33,21.58,21.92,20.45,22.88,21.2,18.0,15.25,13.78,13.75,12.58,12.55,13.7,12.08,13.8,12.02,5.9
163,양평역,12.92,12.02,13.85,18.05,22.95,25.58,30.28,31.32,31.6,32.42,32.65,33.75,35.78,39.05,40.0,37.7,37.7,37.9,37.55,38.2,41.7,44.82,44.22,41.48,37.58,33.65,31.58,27.18,25.4,26.0,28.08,26.82,23.28,22.72,19.38,16.75
164,어린이대공원역,28.3,22.33,21.8,25.7,33.7,39.3,46.55,45.9,41.12,40.55,52.35,47.02,43.3,47.85,47.22,46.38,43.7,47.4,47.18,50.98,55.9,63.1,56.15,56.45,49.4,47.55,40.02,35.08,35.1,36.8,36.78,36.8,35.35,29.12,29.52,21.12
165,여의나루역,9.7,8.25,10.28,11.58,16.15,17.47,22.38,23.4,22.45,24.58,26.22,29.3,30.08,33.47,33.7,33.9,32.78,37.33,35.02,36.4,39.4,43.1,41.92,39.7,38.4,32.2,27.35,25.3,24.78,27.58,26.22,21.4,21.3,17.08,15.48,9.18
166,여의도역,9.3,8.25,10.2,11.98,16.05,17.4,22.1,23.2,23.17,24.4,26.28,27.58,29.58,33.5,33.45,33.7,34.55,35.7,34.93,36.72,39.78,44.65,41.22,39.28,38.02,32.15,28.52,25.58,24.85,26.62,28.5,23.12,21.98,18.08,17.02,10.02
167,역삼역,12.92,11.62,12.52,14.08,19.85,25.5,30.95,30.15,33.8,31.95,35.45,41.1,41.82,41.08,44.08,47.0,42.3,44.08,46.6,45.52,53.9,53.35,50.53,44.45,44.38,45.28,37.12,31.62,33.88,38.05,37.95,36.55,36.9,28.52,25.42,17.45
168,역촌역,6.1,6.6,7.4,9.25,13.0,15.0,19.2,21.4,20.25,18.85,17.25,16.35,17.05,20.5,19.45,19.3,19.0,18.55,17.65,18.55,19.7,21.1,20.2,20.05,19.1,16.4,15.1,13.2,12.3,12.2,12.7,13.15,17.65,15.15,11.65,9.2
169,연신내역,12.55,7.98,8.38,12.8,15.85,19.7,21.58,23.75,22.38,25.65,26.0,22.78,22.28,23.22,23.68,23.55,23.98,24.9,22.48,24.68,25.92,28.18,25.42,25.75,22.45,21.12,18.92,16.8,15.4,15.3,19.0,17.1,15.13,14.62,12.22,6.7
170,영등포구청역,17.0,11.88,13.05,15.92,22.62,27.12,30.22,30.2,34.1,32.38,35.92,39.45,38.15,50.78,44.6,46.75,47.2,44.05,44.5,48.03,54.45,53.35,51.88,53.8,43.53,45.8,37.68,38.3,36.75,35.1,44.42,39.65,39.43,38.58,43.08,20.7
171,영등포시장역,9.52,9.07,10.7,12.95,17.55,18.32,21.95,23.22,24.12,24.25,24.85,26.08,27.52,30.35,30.85,29.0,30.5,30.22,30.72,30.75,33.28,35.67,36.42,33.83,31.48,26.58,24.9,20.78,19.73,20.67,22.18,19.82,17.62,16.32,15.1,12.42
172,오금역,8.6,7.6,8.52,13.1,17.65,16.98,21.1,19.2,21.7,21.92,19.88,22.32,24.72,24.32,29.88,27.48,23.1,23.9,26.35,26.3,28.5,30.35,31.38,24.45,27.22,23.98,19.65,17.75,14.75,17.97,17.85,14.95,16.92,13.35,15.25,8.18
173,오남역,2.5,3.25,4.1,5.5,6.75,5.45,8.05,4.3,10.1,9.0,8.4,7.0,8.9,6.9,8.05,9.6,7.9,6.7,7.2,8.25,8.0,6.95,7.7,9.55,6.15,5.05,4.35,3.55,4.4,4.3,5.7,3.2,2.65,3.35,3.7,2.8
174,오목교역,12.22,11.52,12.75,16.3,21.78,23.48,27.62,28.15,28.25,29.55,30.48,30.85,33.15,35.1,37.2,34.55,35.55,34.9,35.67,35.9,38.2,41.3,40.38,37.9,35.12,31.78,30.0,25.4,24.3,25.92,28.02,24.55,22.55,21.52,18.15,16.95
175,옥수역,11.38,11.52,10.38,13.68,20.58,25.7,31.78,32.12,32.12,33.7,41.48,39.92,37.35,43.52,39.0,44.25,42.1,40.92,42.38,47.0,47.15,49.85,50.45,48.3,46.4,38.08,30.13,28.98,27.85,32.08,28.35,24.42,27.68,20.6,16.82,13.12
176,온수역,12.7,13.52,9.55,12.9,18.68,20.58,18.18,25.0,22.8,19.95,25.92,24.02,22.65,24.52,26.58,20.98,23.4,23.55,24.52,23.32,28.83,27.88,29.95,27.05,27.7,20.1,19.12,21.45,15.68,16.58,20.2,14.85,18.77,16.45,15.65,8.35
177,올림픽공원역,11.75,9.45,13.02,16.52,21.15,22.78,27.1,23.78,29.02,27.35,25.0,29.15,29.58,32.8,37.35,33.62,30.02,30.95,33.42,32.8,35.92,36.6,39.12,31.15,33.25,29.32,25.52,21.05,26.25,46.2,29.9,39.47,23.9,18.05,17.5,9.35
178,왕십리역,12.7,9.57,12.22,13.7,21.25,21.7,24.22,27.08,27.82,28.65,35.95,38.12,41.7,44.8,41.05,41.28,39.67,44.7,48.95,54.62,44.6,49.1,48.6,41.98,44.38,39.6,38.3,31.92,29.48,29.18,31.88,31.22,30.15,27.25,24.92,18.4
179,용답역,5.28,4.9,5.48,4.62,7.58,10.38,9.25,11.45,10.82,12.32,12.38,14.0,14.78,17.05,16.9,15.48,15.58,14.68,14.5,15.15,16.4,15.65,17.8,14.82,14.82,10.18,8.62,8.75,6.88,7.38,7.02,7.65,7.63,7.22,5.08,2.68
180,용두역,4.08,3.9,4.38,4.32,6.88,8.12,8.07,9.38,9.5,10.28,10.1,12.4,12.3,14.1,15.2,14.0,12.5,12.68,12.55,13.12,14.32,13.38,15.82,13.27,12.95,9.32,7.7,6.72,5.95,6.18,5.85,6.55,6.55,6.15,4.38,2.38
181,용마산역,26.05,21.6,23.3,27.85,35.33,39.9,46.62,42.2,41.88,39.17,39.28,42.8,40.4,42.75,44.52,43.42,42.38,42.08,41.95,47.95,47.28,53.75,54.75,49.42,46.03,43.05,36.58,32.05,31.87,33.55,36.17,32.6,31.48,27.05,26.22,18.88
182,우장산역,8.72,6.95,7.05,8.85,11.65,13.95,15.8,17.1,15.62,17.6,17.92,19.58,20.03,21.38,21.92,20.95,20.58,20.7,20.68,20.95,21.3,23.3,21.68,20.25,19.15,16.83,15.42,12.25,11.75,11.1,11.1,10.55,12.35,9.48,8.32,6.15
183,월곡역,7.82,8.27,9.62,12.08,17.2,19.78,21.28,21.02,21.32,20.95,20.72,22.22,23.6,24.55,26.02,26.17,24.45,23.4,22.52,22.88,25.05,24.48,25.7,24.38,22.92,22.6,16.83,15.25,14.68,14.85,16.23,16.55,13.85,13.15,13.38,10.73
184,월드컵경기장역,9.15,8.22,10.72,12.3,17.35,19.27,23.33,24.95,24.02,24.08,22.4,25.02,25.8,28.62,27.25,27.48,27.7,28.28,29.38,29.48,32.05,35.55,34.25,33.67,28.05,27.05,23.72,21.95,19.4,18.8,20.02,21.0,25.65,21.88,16.65,12.0
185,을지로3가역,10.02,8.6,9.48,11.8,18.17,22.28,24.85,30.1,28.75,30.5,32.15,36.3,37.83,43.32,40.15,41.7,41.82,40.88,44.2,50.62,44.42,53.92,48.92,46.8,46.08,41.38,40.8,33.17,33.08,34.55,34.3,35.18,37.32,33.35,39.7,19.73
186,을지로4가역,10.07,8.62,10.1,11.88,18.05,19.68,22.68,26.12,24.42,27.38,30.7,36.05,38.1,43.4,40.4,41.68,41.18,41.08,44.82,50.2,43.65,54.1,48.28,45.05,44.62,40.88,40.38,32.83,32.83,34.8,33.95,35.08,36.97,33.05,38.12,19.1
187,을지로입구역,9.85,8.48,9.1,11.28,17.75,18.2,20.78,23.72,22.6,26.2,30.3,33.7,38.1,45.9,37.08,41.8,43.12,41.08,44.25,52.2,43.47,55.5,50.35,49.45,47.45,45.38,44.18,36.58,37.12,40.33,37.02,38.65,39.62,36.08,41.5,22.67
188,응암역,7.32,7.25,9.18,11.52,15.12,16.88,20.82,20.1,25.7,21.4,19.95,19.95,21.6,23.92,22.45,22.25,20.27,25.82,21.28,21.88,23.02,25.12,23.22,23.12,20.47,15.58,17.98,13.75,12.48,12.05,12.38,12.35,16.02,13.68,9.07,6.6
189,이대역,10.07,8.92,9.38,11.6,17.08,18.88,22.52,24.45,26.38,29.12,31.28,35.33,45.0,47.62,39.07,44.88,46.47,39.22,44.18,52.25,46.2,51.8,50.3,54.28,41.95,44.22,41.82,35.22,36.88,34.4,39.82,37.38,41.45,37.45,35.58,22.58
190,이촌역,10.92,7.62,8.2,11.48,16.77,18.52,24.65,26.85,26.95,28.65,32.88,30.18,27.9,29.12,29.12,28.4,28.28,26.62,30.18,30.82,32.05,33.22,33.83,35.52,35.4,34.42,27.3,24.15,23.0,22.8,24.35,21.9,20.1,20.48,20.5,17.23
191,이태원역,8.35,6.92,8.2,9.23,12.48,14.6,17.32,18.68,19.58,21.12,21.95,23.65,24.02,27.65,27.12,29.28,26.72,27.35,28.42,31.32,32.33,34.4,33.02,32.55,29.05,26.65,22.02,20.72,21.48,18.9,24.55,21.75,21.62,19.27,19.12,8.12
192,일원역,5.98,4.05,4.15,4.85,6.82,8.35,9.12,10.65,10.12,10.4,9.78,10.88,11.28,11.1,12.75,10.72,9.8,10.38,11.2,12.42,14.0,12.08,13.25,13.22,11.8,9.72,8.5,6.8,7.88,6.8,7.78,6.7,6.15,7.87,4.53,4.6
193,잠실나루역,8.95,7.1,8.9,11.0,16.48,17.62,19.65,22.32,23.38,24.4,26.0,31.0,29.42,34.15,32.38,32.83,32.48,32.35,35.15,41.58,36.0,40.62,41.98,35.12,34.95,34.28,32.25,26.35,24.28,30.0,27.9,26.85,25.3,20.65,19.08,16.82
194,잠실새내역,10.45,8.57,10.05,11.38,16.65,18.95,24.0,24.1,25.35,26.52,26.75,32.8,32.08,35.02,34.25,35.62,34.4,33.65,37.02,40.95,39.08,44.35,39.8,37.3,36.12,32.8,31.08,25.92,25.7,31.45,28.05,29.38,30.32,21.38,18.92,13.18
195,잠실역,15.05,11.92,15.0,14.1,21.02,22.48,27.02,28.75,28.92,28.35,27.5,30.35,30.2,37.17,35.47,38.62,35.6,42.2,40.58,47.5,48.47,49.28,55.28,49.38,51.0,45.5,45.4,36.42,37.02,42.97,41.75,41.78,44.05,30.88,25.28,19.15
196,잠원역,11.25,10.22,8.82,11.88,15.55,23.72,25.82,28.7,26.65,31.35,35.42,35.55,34.28,37.6,37.5,38.15,37.3,38.55,40.05,40.62,42.95,47.72,43.88,44.9,41.62,33.45,30.1,24.67,27.12,29.0,27.07,24.52,24.52,18.92,14.72,8.85
197,장승배기역,17.55,14.55,14.25,17.12,22.45,24.6,29.75,28.8,26.32,26.8,28.35,28.18,29.52,30.67,31.02,28.78,29.42,30.88,28.8,31.42,33.6,38.05,33.3,32.75,29.68,26.88,23.52,21.8,21.17,21.8,23.78,23.08,19.82,19.48,17.73,10.07
198,장암역,0.25,0.5,0.65,1.25,0.95,0.9,0.85,0.95,0.85,0.75,0.85,0.77,0.62,0.72,0.92,1.0,1.0,1.2,1.3,1.45,1.52,1.68,1.5,1.15,1.02,0.8,0.75,0.57,0.48,0.32,0.38,0.32,0.08,0.12,0.08,0.02
199,장지역,13.55,11.75,12.88,16.0,22.75,25.4,30.65,29.88,30.82,30.8,32.52,31.9,34.42,38.83,36.5,35.67,34.17,37.17,38.52,39.62,44.15,43.55,43.53,40.85,37.0,33.38,30.2,26.52,25.55,27.1,33.28,27.78,27.98,21.2,17.27,11.98
200,장한평역,14.85,11.38,14.0,17.8,21.32,24.25,29.92,30.08,31.6,33.58,33.9,34.8,38.02,40.03,40.15,38.35,38.67,39.78,40.88,43.5,44.95,47.52,46.53,43.62,38.05,33.6,29.83,25.12,23.42,30.62,28.7,27.55,24.88,23.35,17.25,16.67
201,제기동역,11.2,7.52,9.6,10.68,16.1,16.83,17.48,19.65,22.28,21.8,19.45,22.68,27.2,32.95,27.9,28.28,28.1,31.75,29.98,30.4,24.17,29.95,34.67,27.1,25.5,21.18,17.62,17.92,19.95,13.6,15.1,15.75,16.32,15.02,9.25,10.22
202,종각역,8.25,8.93,8.55,9.3,13.15,14.9,17.92,21.98,24.9,24.25,24.05,28.4,32.82,33.45,36.98,33.6,35.75,37.67,39.45,37.42,31.95,36.7,37.17,36.15,33.4,27.2,25.3,24.15,22.78,19.75,22.17,21.72,19.42,16.85,14.5,12.18
203,종로3가역,11.05,9.12,10.75,14.35,20.85,25.68,31.55,38.6,35.32,36.92,38.6,40.47,39.93,43.5,39.98,45.55,43.52,45.68,44.9,47.1,50.55,49.38,54.45,49.52,45.3,41.0,34.5,28.55,28.05,32.9,29.42,26.12,29.33,21.92,18.7,12.38
204,종로5가역,8.98,9.28,9.77,11.3,14.2,17.18,18.62,24.65,27.15,25.95,26.25,29.08,34.28,38.9,39.45,34.8,37.9,38.47,42.42,37.22,28.1,41.15,38.3,34.42,35.85,25.25,23.98,22.38,19.6,18.6,18.88,20.85,18.42,14.35,12.48,12.12
205,종합운동장역,10.05,8.62,9.18,10.82,15.65,20.08,23.62,24.25,24.88,25.15,26.6,31.75,30.98,33.0,31.65,35.82,33.3,33.38,36.1,40.05,39.42,45.12,39.38,36.8,36.1,33.52,31.08,24.42,26.7,30.67,28.08,31.4,27.6,20.75,17.95,12.9
206,중계역,13.3,11.9,13.12,17.73,20.52,24.7,27.65,28.98,25.98,26.52,23.75,25.75,25.1,25.95,25.78,25.92,26.5,24.67,28.08,26.65,29.88,31.22,31.43,28.0,25.9,22.1,19.95,18.55,16.03,17.25,18.6,15.6,16.53,13.35,13.7,12.42
207,중곡역,27.15,22.22,24.15,28.5,35.47,40.82,48.22,44.28,42.47,41.82,42.58,42.32,42.0,45.92,45.0,44.88,43.22,43.35,44.6,48.62,46.85,58.35,56.3,51.9,46.48,44.28,37.62,32.9,32.83,34.8,35.98,34.28,32.32,27.5,27.32,19.48
208,중화역,19.02,16.1,18.42,21.95,28.58,31.7,36.98,34.88,33.3,31.65,31.45,33.58,32.33,34.42,34.95,33.38,33.58,32.92,34.97,34.15,39.38,41.08,41.97,38.47,36.05,31.08,28.22,25.48,23.4,26.3,26.8,24.22,24.25,20.48,19.05,17.58
209,증산역,9.25,8.8,11.28,13.88,18.85,21.12,25.08,27.6,26.4,25.42,23.45,24.55,26.65,28.25,27.33,27.22,27.02,27.38,26.88,27.83,29.62,33.08,31.25,31.1,27.22,24.58,22.15,20.08,17.5,17.75,17.52,19.1,22.8,21.55,14.92,12.32
210,지축역,10.62,11.08,12.25,16.9,22.25,18.42,30.0,29.22,28.98,26.22,27.8,31.38,35.42,29.38,35.67,37.15,37.78,36.93,33.08,38.05,42.48,43.55,42.72,34.75,28.0,33.62,26.25,28.02,18.15,21.52,15.28,18.85,25.45,16.27,17.6,16.7
211,진접역,1.1,1.05,1.5,2.05,1.8,2.25,2.75,1.75,4.35,3.15,3.25,3.25,2.5,2.95,4.7,2.9,3.45,2.4,2.8,3.1,2.5,2.15,2.35,2.55,2.4,0.85,0.95,0.8,0.4,0.9,0.85,0.3,0.5,0.45,0.5,0.2
212,창동역,11.73,8.2,9.22,11.4,16.48,19.02,22.7,23.0,18.62,24.22,20.58,18.42,19.55,19.77,20.52,17.2,18.25,17.95,17.68,18.02,21.05,20.23,23.68,19.23,24.0,16.1,16.52,14.7,14.45,14.85,14.4,12.08,12.98,15.22,11.15,13.32
213,창신역,12.0,11.18,13.35,15.55,22.22,25.25,29.0,27.15,30.2,27.98,29.48,32.85,35.08,34.92,36.48,37.02,34.17,33.38,35.17,34.67,37.48,38.03,40.17,38.85,34.7,33.02,26.38,23.62,22.95,22.38,25.8,25.28,25.15,22.38,23.48,16.12
214,천왕역,13.48,13.68,12.4,13.42,18.48,23.75,23.98,23.85,26.42,25.3,24.28,25.5,27.33,25.05,25.67,27.3,26.38,22.95,28.9,27.18,27.85,30.55,33.48,26.62,27.25,23.65,22.12,18.15,17.08,18.95,18.18,17.38,18.45,17.3,14.48,7.82
215,천호역,16.18,12.42,14.3,18.55,24.1,25.28,32.12,31.82,32.62,35.08,34.78,35.0,36.72,41.8,39.92,39.1,39.75,38.65,40.67,45.42,46.6,48.42,49.72,45.3,42.4,37.08,33.4,25.8,28.7,35.5,28.22,31.65,29.35,25.35,18.38,16.75
216,철산역,17.02,16.15,14.42,18.95,23.05,26.02,31.55,30.88,29.72,31.15,33.28,31.2,32.05,35.62,33.62,32.0,34.35,32.83,32.9,37.32,37.42,38.75,41.75,36.55,35.92,29.0,27.83,24.5,21.75,22.92,23.35,24.28,20.75,20.45,19.15,9.6
217,청구역,10.88,9.02,11.52,12.6,16.77,19.27,22.48,24.45,25.32,26.15,26.72,28.1,29.85,33.25,32.45,33.42,31.32,33.7,33.62,35.6,38.15,39.2,37.65,35.05,32.42,27.3,23.42,21.9,21.05,22.9,23.22,20.48,21.72,18.18,18.42,11.1
218,청담역,22.78,18.25,18.9,23.2,26.28,29.83,36.68,36.65,33.45,33.4,35.95,40.52,40.8,41.45,41.38,40.78,38.35,41.98,42.3,44.68,48.58,56.28,50.1,48.25,43.52,39.67,37.03,31.18,31.02,33.2,31.75,30.98,29.55,26.68,23.85,16.08
219,청량리역,10.05,5.7,8.57,9.82,13.42,17.48,15.68,16.58,20.48,18.12,16.1,21.82,24.22,27.78,25.05,25.58,23.48,25.7,23.02,29.12,21.38,25.35,31.93,23.58,22.95,18.6,15.8,16.65,17.17,13.27,13.08,14.42,15.18,13.7,9.02,9.48
220,총신대입구역,23.95,17.18,18.3,20.1,26.72,31.3,35.1,33.67,35.45,34.85,34.1,38.38,38.78,41.35,40.65,38.85,36.42,37.8,39.83,43.7,41.3,52.88,46.75,44.05,38.52,38.22,31.38,28.72,27.95,30.18,31.45,29.18,26.65,26.82,24.2,18.52
221,충무로역,12.4,10.9,12.1,14.3,22.9,23.8,32.55,32.83,33.2,37.6,39.25,40.02,35.28,40.5,37.0,42.18,36.45,40.05,38.55,43.85,42.2,49.5,47.22,45.65,52.35,43.38,40.0,37.48,36.8,36.3,35.35,32.35,30.82,28.32,28.88,18.92
222,충정로역,10.6,9.3,9.98,11.65,19.02,22.0,23.22,25.92,26.5,28.87,32.45,37.35,42.52,49.78,39.3,47.05,46.25,40.7,45.42,52.92,45.65,55.78,50.72,53.02,45.05,43.8,43.1,36.65,35.45,37.15,38.05,38.85,40.18,36.62,41.75,22.3
223,태릉입구역,16.58,14.55,16.85,20.52,25.9,28.45,33.08,33.4,31.72,30.02,29.3,32.2,30.08,31.52,32.9,30.78,32.4,30.38,33.6,34.4,35.97,38.62,40.42,34.85,34.02,29.28,26.9,24.48,21.5,24.05,24.78,22.42,23.05,18.77,17.9,17.23
224,하계역,14.6,12.78,15.22,19.08,23.9,26.22,30.22,31.35,28.6,28.25,26.82,28.33,27.62,28.72,28.98,28.65,29.18,27.4,30.85,29.78,32.22,34.2,35.02,31.1,29.35,24.75,22.12,21.1,18.05,19.55,20.92,17.6,18.6,15.18,15.1,13.6
225,하남검단산역,1.32,0.98,1.27,1.48,1.98,2.5,2.78,2.9,2.92,2.62,2.6,2.82,3.02,3.03,3.38,3.08,3.25,3.25,3.72,4.05,4.15,4.25,3.7,3.6,3.82,4.75,2.68,2.55,2.08,1.8,2.22,2.08,2.5,1.62,0.43,0.48
226,하남시청역,6.45,5.05,5.1,6.75,8.3,10.9,11.85,12.45,12.9,12.55,11.75,12.6,12.45,12.55,13.5,12.85,12.3,12.4,12.8,14.45,14.6,14.35,13.3,12.25,12.15,14.35,9.3,9.1,7.25,5.9,6.4,6.4,7.15,5.15,2.4,1.7
227,하남풍산역,5.5,4.5,4.75,5.98,7.9,10.32,11.85,11.8,14.85,12.98,11.72,12.12,12.1,13.02,13.65,13.35,12.8,12.9,13.45,14.28,14.95,14.9,14.42,14.62,13.45,14.35,10.98,10.75,8.65,7.92,8.65,7.85,8.72,7.32,5.0,6.18
228,학동역,23.45,16.8,17.27,20.17,23.48,28.05,34.58,34.8,32.85,33.78,35.02,41.92,39.92,42.92,42.0,43.22,39.67,44.35,42.4,47.35,49.2,57.77,48.8,51.92,43.88,40.62,36.52,31.67,32.28,33.67,30.45,30.02,28.85,26.22,23.15,16.0
229,학여울역,6.7,5.0,5.08,5.5,7.75,9.55,10.65,12.15,11.08,11.77,11.3,12.7,11.92,13.5,14.15,13.12,11.88,12.25,12.68,14.55,15.02,13.62,16.58,15.18,14.27,11.88,9.3,8.25,9.28,8.05,8.9,7.95,7.3,9.55,5.32,4.78
230,한강진역,8.0,7.2,7.82,8.9,12.32,14.18,16.12,17.47,18.48,19.83,20.1,23.48,23.95,25.67,25.32,28.38,25.05,26.75,27.12,29.7,31.5,32.83,32.08,32.83,29.92,27.05,23.02,20.9,23.4,19.23,26.18,22.38,21.82,18.7,18.65,9.93
231,한성대입구역,19.73,17.3,18.08,22.02,32.83,37.02,43.78,40.08,42.82,43.18,42.72,40.92,35.8,42.35,38.5,40.3,35.28,40.75,35.58,44.5,40.83,45.47,49.7,46.6,46.08,40.82,38.98,38.38,36.72,34.08,40.75,35.8,33.05,31.7,32.28,26.28
232,한양대역,8.38,7.18,8.28,9.88,13.88,16.98,19.92,21.95,19.82,22.3,34.78,29.92,30.08,35.58,34.9,33.9,33.45,36.85,46.12,44.12,38.2,42.72,42.85,37.55,38.78,42.75,36.88,29.75,26.4,26.85,29.8,28.15,28.22,24.85,22.28,17.48
233,합정역,15.5,10.3,11.28,14.82,20.52,23.08,26.88,27.2,31.78,31.62,32.47,37.6,36.25,48.25,43.97,44.55,47.15,42.55,45.3,48.05,49.42,55.32,51.42,54.25,42.38,47.3,41.65,37.55,38.03,39.58,44.82,41.9,46.18,38.67,39.57,24.85
234,행당역,11.55,9.02,11.92,13.23,17.45,19.52,23.38,25.95,26.88,27.8,28.35,30.25,31.78,34.98,34.55,34.25,31.78,34.78,35.55,36.1,37.95,41.35,39.8,35.65,32.78,27.85,23.75,22.05,21.28,23.38,23.18,20.92,21.52,18.42,16.23,11.32
235,혜화역,19.73,17.35,17.85,22.02,32.62,36.58,42.62,41.38,43.82,41.1,44.02,42.3,37.5,41.88,38.12,43.42,35.15,43.4,37.9,48.58,47.15,50.42,57.58,52.58,54.23,46.68,44.25,46.28,45.92,40.48,50.72,44.82,41.4,38.85,41.92,26.08
236,홍대입구역,11.95,10.35,10.32,13.3,19.45,21.1,23.98,23.05,27.9,27.78,29.17,30.9,36.38,42.05,35.1,40.25,42.52,34.65,41.6,45.98,45.08,50.62,50.3,50.45,40.75,44.82,40.9,36.35,38.5,39.3,45.0,43.55,48.98,42.45,42.6,27.75
237,홍제역,13.2,9.82,12.22,14.8,23.48,24.7,28.28,32.88,29.68,29.0,35.85,29.42,31.55,30.28,30.2,31.58,32.58,30.38,29.6,32.97,37.2,36.12,36.67,33.05,32.05,31.75,24.48,23.02,21.42,22.95,24.45,23.52,21.78,18.2,16.1,10.05
238,화곡역,10.48,8.9,9.25,12.48,16.25,18.65,21.67,22.65,21.15,22.7,22.52,24.32,25.35,26.52,26.65,26.05,24.45,25.15,24.18,25.52,25.1,27.75,25.0,24.1,22.45,19.6,17.73,14.9,13.72,13.15,13.25,12.42,14.32,11.4,10.18,7.02
239,화랑대역,2.95,3.75,3.65,5.35,7.22,7.68,8.28,8.68,8.65,8.57,8.45,9.12,9.08,9.55,9.98,8.68,8.3,7.95,7.72,8.62,8.25,9.07,10.02,8.02,7.22,6.75,5.48,4.28,4.3,3.82,4.92,4.3,4.15,3.52,2.9,2.42
240,회현역,12.6,10.15,11.25,13.32,20.98,21.92,29.65,29.4,30.7,34.1,37.08,36.22,33.28,37.72,34.17,37.78,33.72,36.67,35.17,40.33,39.98,43.32,43.8,42.92,45.8,43.32,38.02,34.05,34.62,32.12,32.15,28.8,26.92,24.58,27.45,17.62
241,효창공원앞역,10.25,7.32,9.25,10.22,15.5,17.0,20.38,24.1,22.05,26.45,26.2,27.22,28.35,34.35,32.78,33.25,31.02,31.25,32.2,33.8,36.82,40.08,37.45,37.92,33.35,32.33,25.22,22.8,22.5,21.2,23.9,24.17,24.98,22.68,21.1,13.0
